instrument_key,side,status,entry_ts,exit_ts,quantity,entry_price,exit_price,entry_notional,exit_notional,contract_multiplier,realized_gross_pnl,fees,realized_net_pnl,return_on_entry_notional
CORN,long,closed,2021-05-14 00:00:00+00:00,2021-05-24 00:00:00+00:00,656934.0,685.0,657.25,449999790.0,431769871.5,1.0,-18229918.5,0.0,-18229918.5,-0.04051094890510949
CORN,short,closed,2021-05-24 00:00:00+00:00,2021-05-28 00:00:00+00:00,456447.0,657.25,656.75,299999790.75,299771567.25,1.0,228223.5,0.0,228223.5,0.0007607455306200076
CORN,long,closed,2021-05-28 00:00:00+00:00,2021-07-12 00:00:00+00:00,456794.0,656.75,669.25,299999459.5,305709384.5,1.0,5709925.0,0.0,5709925.0,0.01903311762466692
CORN,short,closed,2021-07-12 00:00:00+00:00,2021-09-27 00:00:00+00:00,672394.0,669.25,539.5,449999684.5,362756563.0,1.0,87243121.5,0.0,87243121.5,0.19387373926036608
CORN,long,closed,2021-09-27 00:00:00+00:00,2021-10-18 00:00:00+00:00,834105.0,539.5,532.75,449999647.5,444369438.75,1.0,-5630208.75,0.0,-5630208.75,-0.012511584800741427
CORN,short,closed,2021-10-18 00:00:00+00:00,2021-10-26 00:00:00+00:00,563115.0,532.75,543.5,299999516.25,306053002.5,1.0,-6053486.25,0.0,-6053486.25,-0.02017832003754106
CORN,long,closed,2021-10-26 00:00:00+00:00,2021-11-19 00:00:00+00:00,827966.0,543.5,570.75,449999521.0,472561594.5,1.0,22562073.5,0.0,22562073.5,0.05013799448022079
CORN,short,closed,2021-11-19 00:00:00+00:00,2021-11-29 00:00:00+00:00,788436.0,570.75,581.0,449999847.0,458081316.0,1.0,-8081469.0,0.0,-8081469.0,-0.017958826106000875
CORN,long,closed,2021-11-29 00:00:00+00:00,2021-12-29 00:00:00+00:00,516351.0,581.0,605.5,299999931.0,312650530.5,1.0,12650599.5,0.0,12650599.5,0.04216867469879518
CORN,short,closed,2021-12-29 00:00:00+00:00,2022-02-24 00:00:00+00:00,495458.0,605.5,695.0,299999819.0,344343310.0,1.0,-44343491.0,0.0,-44343491.0,-0.14781172584640792
CORN,long,closed,2022-02-24 00:00:00+00:00,2022-03-11 00:00:00+00:00,431654.0,695.0,764.5,299999530.0,329999483.0,1.0,29999953.0,0.0,29999953.0,0.1
CORN,short,closed,2022-03-11 00:00:00+00:00,2022-04-08 00:00:00+00:00,588620.0,764.5,768.75,449999990.0,452501625.0,1.0,-2501635.0,0.0,-2501635.0,-0.005559189012426423
CORN,long,closed,2022-04-08 00:00:00+00:00,2022-05-04 00:00:00+00:00,390243.0,768.75,798.5,299999306.25,311609035.5,1.0,11609729.25,0.0,11609729.25,0.038699186991869916
CORN,short,closed,2022-05-04 00:00:00+00:00,2022-06-22 00:00:00+00:00,375704.0,798.5,768.0,299999644.0,288540672.0,1.0,11458972.0,0.0,11458972.0,0.038196618659987476
CORN,long,closed,2022-06-22 00:00:00+00:00,2022-07-14 00:00:00+00:00,585937.0,768.0,695.0,449999616.0,407226215.0,1.0,-42773401.0,0.0,-42773401.0,-0.09505208333333333
CORN,short,closed,2022-07-14 00:00:00+00:00,2022-08-17 00:00:00+00:00,431654.0,695.0,615.0,299999530.0,265467210.0,1.0,34532320.0,0.0,34532320.0,0.11510791366906475
CORN,long,closed,2022-08-17 00:00:00+00:00,2022-09-28 00:00:00+00:00,487804.0,615.0,670.5,299999460.0,327072582.0,1.0,27073122.0,0.0,27073122.0,0.09024390243902439
CORN,short,closed,2022-09-28 00:00:00+00:00,2022-11-30 00:00:00+00:00,671140.0,670.5,662.0,449999370.0,444294680.0,1.0,5704690.0,0.0,5704690.0,0.01267710663683818
CORN,long,closed,2022-11-30 00:00:00+00:00,2022-12-13 00:00:00+00:00,453172.0,662.0,643.75,299999864.0,291729475.0,1.0,-8270389.0,0.0,-8270389.0,-0.02756797583081571
CORN,short,closed,2022-12-13 00:00:00+00:00,2023-01-10 00:00:00+00:00,699029.0,643.75,655.0,449999918.75,457863995.0,1.0,-7864076.25,0.0,-7864076.25,-0.017475728155339806
CORN,long,closed,2023-01-10 00:00:00+00:00,2023-03-07 00:00:00+00:00,687022.0,655.0,634.25,449999410.0,435743703.5,1.0,-14255706.5,0.0,-14255706.5,-0.0316793893129771
CORN,short,closed,2023-03-07 00:00:00+00:00,2023-03-24 00:00:00+00:00,472999.0,634.25,643.0,299999615.75,304138357.0,1.0,-4138741.25,0.0,-4138741.25,-0.013795821836815136
CORN,long,closed,2023-03-24 00:00:00+00:00,2023-05-12 00:00:00+00:00,466562.0,643.0,633.25,299999366.0,295450386.5,1.0,-4548979.5,0.0,-4548979.5,-0.015163297045101089
CORN,short,closed,2023-05-12 00:00:00+00:00,2023-06-09 00:00:00+00:00,473746.0,633.25,604.25,299999654.5,286261020.5,1.0,13738634.0,0.0,13738634.0,0.04579549940781682
CORN,long,closed,2023-06-09 00:00:00+00:00,2023-07-07 00:00:00+00:00,744724.0,604.25,560.5,449999477.0,417417802.0,1.0,-32581675.0,0.0,-32581675.0,-0.07240380637153496
CORN,short,closed,2023-07-07 00:00:00+00:00,2023-09-28 00:00:00+00:00,802854.0,560.5,488.5,449999667.0,392194179.0,1.0,57805488.0,0.0,57805488.0,0.12845673505798394
CORN,long,closed,2023-09-28 00:00:00+00:00,2023-10-24 00:00:00+00:00,921187.0,488.5,484.0,449999849.5,445854508.0,1.0,-4145341.5,0.0,-4145341.5,-0.009211873080859774
CORN,short,closed,2023-10-24 00:00:00+00:00,2023-12-18 00:00:00+00:00,619834.0,484.0,477.0,299999656.0,295660818.0,1.0,4338838.0,0.0,4338838.0,0.014462809917355372
CORN,long,closed,2023-12-18 00:00:00+00:00,2024-02-22 00:00:00+00:00,943396.0,477.0,406.0,449999892.0,383018776.0,1.0,-66981116.0,0.0,-66981116.0,-0.1488469601677149
CORN,short,closed,2024-02-22 00:00:00+00:00,2024-04-04 00:00:00+00:00,738916.0,406.0,435.25,299999896.0,321613189.0,1.0,-21613293.0,0.0,-21613293.0,-0.07204433497536945
CORN,long,closed,2024-04-04 00:00:00+00:00,2024-04-15 00:00:00+00:00,689259.0,435.25,431.5,299999979.75,297415258.5,1.0,-2584721.25,0.0,-2584721.25,-0.00861573808156232
CORN,short,closed,2024-04-15 00:00:00+00:00,2024-04-22 00:00:00+00:00,695249.0,431.5,439.75,299999943.5,305735747.75,1.0,-5735804.25,0.0,-5735804.25,-0.019119351100811123
CORN,long,closed,2024-04-22 00:00:00+00:00,2024-05-01 00:00:00+00:00,682205.0,439.75,450.75,299999648.75,307503903.75,1.0,7504255.0,0.0,7504255.0,0.025014212620807278
CORN,short,closed,2024-05-01 00:00:00+00:00,2024-05-14 00:00:00+00:00,665557.0,450.75,453.75,299999817.75,301996488.75,1.0,-1996671.0,0.0,-1996671.0,-0.0066555740432612314
CORN,long,closed,2024-05-14 00:00:00+00:00,2024-05-23 00:00:00+00:00,661157.0,453.75,464.0,299999988.75,306776848.0,1.0,6776859.25,0.0,6776859.25,0.022589531680440773
CORN,short,closed,2024-05-23 00:00:00+00:00,2024-06-20 00:00:00+00:00,646551.0,464.0,444.75,299999664.0,287553557.25,1.0,12446106.75,0.0,12446106.75,0.041487068965517244
CORN,long,closed,2024-06-20 00:00:00+00:00,2024-07-12 00:00:00+00:00,674536.0,444.75,402.0,299999886.0,271163472.0,1.0,-28836414.0,0.0,-28836414.0,-0.09612141652613827
CORN,short,closed,2024-07-12 00:00:00+00:00,2024-07-29 00:00:00+00:00,1119402.0,402.0,412.25,449999604.0,461473474.5,1.0,-11473870.5,0.0,-11473870.5,-0.025497512437810944
CORN,long,closed,2024-07-29 00:00:00+00:00,2024-08-12 00:00:00+00:00,727713.0,412.25,401.5,299999684.25,292176769.5,1.0,-7822914.75,0.0,-7822914.75,-0.02607640994542147
CORN,short,closed,2024-08-12 00:00:00+00:00,2024-09-09 00:00:00+00:00,747198.0,401.5,384.25,299999997.0,287110831.5,1.0,12889165.5,0.0,12889165.5,0.04296388542963885
CORN,long,closed,2024-09-09 00:00:00+00:00,2024-10-03 00:00:00+00:00,1171112.0,384.25,428.25,449999786.0,501528714.0,1.0,51528928.0,0.0,51528928.0,0.11450878334417697
CORN,short,closed,2024-10-03 00:00:00+00:00,2024-11-25 00:00:00+00:00,700525.0,428.25,433.0,299999831.25,303327325.0,1.0,-3327493.75,0.0,-3327493.75,-0.011091652072387624
CORN,long,closed,2024-11-25 00:00:00+00:00,2024-12-18 00:00:00+00:00,692840.0,433.0,437.25,299999720.0,302944290.0,1.0,2944570.0,0.0,2944570.0,0.009815242494226328
CORN,short,closed,2024-12-18 00:00:00+00:00,2025-01-01 00:00:00+00:00,1029159.0,437.25,458.75,449999772.75,472126691.25,1.0,-22126918.5,0.0,-22126918.5,-0.049170954831332186
CORN,long,closed,2025-01-01 00:00:00+00:00,2025-01-03 00:00:00+00:00,980926.0,458.75,450.75,449999802.5,442152394.5,1.0,-7847408.0,0.0,-7847408.0,-0.017438692098092644
CORN,short,closed,2025-01-03 00:00:00+00:00,2025-01-13 00:00:00+00:00,998336.0,450.75,476.5,449999952.0,475707104.0,1.0,-25707152.0,0.0,-25707152.0,-0.05712701053799223
CORN,long,closed,2025-01-13 00:00:00+00:00,2025-01-28 00:00:00+00:00,944386.0,476.5,485.25,449999929.0,458263306.5,1.0,8263377.5,0.0,8263377.5,0.018363064008394544
CORN,short,closed,2025-01-28 00:00:00+00:00,2025-02-04 00:00:00+00:00,618238.0,485.25,494.5,299999989.5,305718691.0,1.0,-5718701.5,0.0,-5718701.5,-0.0190623390005152
CORN,long,closed,2025-02-04 00:00:00+00:00,2025-02-19 00:00:00+00:00,606673.0,494.5,512.25,299999798.5,310768244.25,1.0,10768445.75,0.0,10768445.75,0.0358948432760364
CORN,short,closed,2025-02-19 00:00:00+00:00,2025-03-06 00:00:00+00:00,585651.0,512.25,464.0,299999724.75,271742064.0,1.0,28257660.75,0.0,28257660.75,0.09419228892142509
CORN,long,closed,2025-03-06 00:00:00+00:00,2025-03-10 00:00:00+00:00,646551.0,464.0,458.75,299999664.0,296605271.25,1.0,-3394392.75,0.0,-3394392.75,-0.011314655172413793
CORN,short,closed,2025-03-10 00:00:00+00:00,2025-03-28 00:00:00+00:00,653950.0,458.75,453.25,299999562.5,296402837.5,1.0,3596725.0,0.0,3596725.0,0.011989100817438692
