instrument_key,side,status,entry_ts,exit_ts,quantity,entry_price,exit_price,entry_notional,exit_notional,contract_multiplier,realized_gross_pnl,fees,realized_net_pnl,return_on_entry_notional
CORN,long,closed,2022-04-01 00:00:00+00:00,2022-04-07 00:00:00+00:00,408163.0,735.0,757.75,299999805.0,309285513.25,1.0,9285708.25,0.0,9285708.25,0.030952380952380953
CORN,long,closed,2022-04-12 00:00:00+00:00,2022-04-25 00:00:00+00:00,386473.0,776.25,800.25,299999666.25,309275018.25,1.0,9275352.0,0.0,9275352.0,0.030917874396135265
CORN,short,closed,2022-05-04 00:00:00+00:00,2022-05-09 00:00:00+00:00,375704.0,798.5,784.5,299999644.0,294739788.0,1.0,5259856.0,0.0,5259856.0,0.017532874139010644
CORN,short,closed,2022-05-23 00:00:00+00:00,2022-05-27 00:00:00+00:00,381558.0,786.25,777.25,299999977.5,296565955.5,1.0,3434022.0,0.0,3434022.0,0.011446740858505564
CORN,long,closed,2022-06-16 00:00:00+00:00,2022-06-21 00:00:00+00:00,380589.0,788.25,760.75,299999279.25,289533081.75,1.0,-10466197.5,0.0,-10466197.5,-0.034887408816999685
CORN,short,closed,2022-06-27 00:00:00+00:00,2022-07-20 00:00:00+00:00,403090.0,744.25,592.25,299999732.5,238730052.5,1.0,61269680.0,0.0,61269680.0,0.20423244877393348
CORN,long,closed,2022-07-20 00:00:00+00:00,2022-08-04 00:00:00+00:00,506542.0,592.25,602.25,299999499.5,305064919.5,1.0,5065420.0,0.0,5065420.0,0.016884761502743775
CORN,long,closed,2022-08-25 00:00:00+00:00,2022-09-05 00:00:00+00:00,456273.0,657.5,667.38,299999497.5,304507474.74,1.0,4507977.239999995,0.0,4507977.239999995,0.015026615969581731
CORN,short,closed,2022-09-21 00:00:00+00:00,2022-09-22 00:00:00+00:00,437636.0,685.5,688.25,299999478.0,301202977.0,1.0,-1203499.0,0.0,-1203499.0,-0.0040116703136396795
CORN,short,closed,2022-10-14 00:00:00+00:00,2022-10-26 00:00:00+00:00,434940.0,689.75,685.0,299999865.0,297933900.0,1.0,2065965.0,0.0,2065965.0,0.006886553098948894
CORN,long,closed,2022-10-26 00:00:00+00:00,2022-11-10 00:00:00+00:00,437956.0,685.0,653.25,299999860.0,286094757.0,1.0,-13905103.0,0.0,-13905103.0,-0.04635036496350365
CORN,short,closed,2022-11-15 00:00:00+00:00,2022-11-30 00:00:00+00:00,449943.0,666.75,662.0,299999495.25,297862266.0,1.0,2137229.25,0.0,2137229.25,0.007124109486314211
