instrument_key,side,status,entry_ts,exit_ts,quantity,entry_price,exit_price,entry_notional,exit_notional,contract_multiplier,realized_gross_pnl,fees,realized_net_pnl,return_on_entry_notional
CORN,long,closed,2022-03-31 00:00:00+00:00,2022-05-02 00:00:00+00:00,400667.0,748.75,813.0,299999416.25,325742271.0,1.0,25742854.75,0.0,25742854.75,0.08580968280467446
CORN,short,closed,2022-05-02 00:00:00+00:00,2022-06-14 00:00:00+00:00,369003.0,813.0,768.25,299999439.0,283486554.75,1.0,16512884.25,0.0,16512884.25,0.0550430504305043
CORN,long,closed,2022-06-14 00:00:00+00:00,2022-06-27 00:00:00+00:00,390497.0,768.25,744.25,299999320.25,290627392.25,1.0,-9371928.0,0.0,-9371928.0,-0.031239830784249918
CORN,short,closed,2022-06-27 00:00:00+00:00,2022-07-20 00:00:00+00:00,403090.0,744.25,592.25,299999732.5,238730052.5,1.0,61269680.0,0.0,61269680.0,0.20423244877393348
CORN,long,closed,2022-07-20 00:00:00+00:00,2022-08-04 00:00:00+00:00,506542.0,592.25,602.25,299999499.5,305064919.5,1.0,5065420.0,0.0,5065420.0,0.016884761502743775
CORN,short,closed,2022-08-04 00:00:00+00:00,2022-08-11 00:00:00+00:00,498132.0,602.25,629.25,299999997.0,313449561.0,1.0,-13449564.0,0.0,-13449564.0,-0.0448318804483188
CORN,long,closed,2022-08-11 00:00:00+00:00,2022-08-24 00:00:00+00:00,476758.0,629.25,665.75,299999971.5,317401638.5,1.0,17401667.0,0.0,17401667.0,0.058005562177195075
CORN,short,closed,2022-08-24 00:00:00+00:00,2022-08-25 00:00:00+00:00,450619.0,665.75,657.5,299999599.25,296281992.5,1.0,3717606.75,0.0,3717606.75,0.012392039053698836
CORN,long,closed,2022-08-25 00:00:00+00:00,2022-09-15 00:00:00+00:00,456273.0,657.5,677.5,299999497.5,309124957.5,1.0,9125460.0,0.0,9125460.0,0.030418250950570342
CORN,short,closed,2022-09-15 00:00:00+00:00,2022-09-20 00:00:00+00:00,442804.0,677.5,692.0,299999710.0,306420368.0,1.0,-6420658.0,0.0,-6420658.0,-0.021402214022140223
CORN,long,closed,2022-09-20 00:00:00+00:00,2022-09-21 00:00:00+00:00,433526.0,692.0,685.5,299999992.0,297182073.0,1.0,-2817919.0,0.0,-2817919.0,-0.00939306358381503
CORN,short,closed,2022-09-21 00:00:00+00:00,2022-09-22 00:00:00+00:00,437636.0,685.5,688.25,299999478.0,301202977.0,1.0,-1203499.0,0.0,-1203499.0,-0.0040116703136396795
CORN,long,closed,2022-09-22 00:00:00+00:00,2022-09-23 00:00:00+00:00,435888.0,688.25,676.75,299999916.0,294987204.0,1.0,-5012712.0,0.0,-5012712.0,-0.01670904467853251
CORN,short,closed,2022-09-23 00:00:00+00:00,2022-10-26 00:00:00+00:00,443295.0,676.75,685.0,299999891.25,303657075.0,1.0,-3657183.75,0.0,-3657183.75,-0.012190616919098634
CORN,long,closed,2022-10-26 00:00:00+00:00,2022-11-10 00:00:00+00:00,437956.0,685.0,653.25,299999860.0,286094757.0,1.0,-13905103.0,0.0,-13905103.0,-0.04635036496350365
CORN,short,closed,2022-11-10 00:00:00+00:00,2022-11-30 00:00:00+00:00,459242.0,653.25,662.0,299999836.5,304018204.0,1.0,-4018367.5,0.0,-4018367.5,-0.013394565633371604
CORN,long,closed,2022-11-30 00:00:00+00:00,2022-12-06 00:00:00+00:00,453172.0,662.0,625.5,299999864.0,283459086.0,1.0,-16540778.0,0.0,-16540778.0,-0.05513595166163142
CORN,short,closed,2022-12-06 00:00:00+00:00,2023-01-17 00:00:00+00:00,479616.0,625.5,685.25,299999808.0,328656864.0,1.0,-28657056.0,0.0,-28657056.0,-0.09552358113509192
CORN,long,closed,2023-01-17 00:00:00+00:00,2023-02-07 00:00:00+00:00,656694.0,685.25,674.0,449999563.5,442611756.0,1.0,-7387807.5,0.0,-7387807.5,-0.016417365924844947
CORN,short,closed,2023-02-07 00:00:00+00:00,2023-02-17 00:00:00+00:00,445103.0,674.0,677.75,299999422.0,301668558.25,1.0,-1669136.25,0.0,-1669136.25,-0.00556379821958457
CORN,long,closed,2023-02-17 00:00:00+00:00,2023-03-01 00:00:00+00:00,442641.0,677.75,640.5,299999937.75,283511560.5,1.0,-16488377.25,0.0,-16488377.25,-0.0549612689044633
CORN,short,closed,2023-03-01 00:00:00+00:00,2023-03-07 00:00:00+00:00,468384.0,640.5,634.25,299999952.0,297072552.0,1.0,2927400.0,0.0,2927400.0,0.00975800156128025
CORN,long,closed,2023-03-07 00:00:00+00:00,2023-03-09 00:00:00+00:00,472999.0,634.25,611.5,299999615.75,289238888.5,1.0,-10760727.25,0.0,-10760727.25,-0.03586913677571935
CORN,short,closed,2023-03-09 00:00:00+00:00,2023-03-10 00:00:00+00:00,490596.0,611.5,624.25,299999454.0,306254553.0,1.0,-6255099.0,0.0,-6255099.0,-0.020850367947669663
CORN,long,closed,2023-03-10 00:00:00+00:00,2023-04-14 00:00:00+00:00,480576.0,624.25,666.25,299999568.0,320183760.0,1.0,20184192.0,0.0,20184192.0,0.06728073688426112
CORN,short,closed,2023-04-14 00:00:00+00:00,2023-04-21 00:00:00+00:00,675422.0,666.25,663.25,449999907.5,447973641.5,1.0,2026266.0,0.0,2026266.0,0.00450281425891182
CORN,long,closed,2023-04-21 00:00:00+00:00,2023-05-08 00:00:00+00:00,452318.0,663.25,656.5,299999913.5,296946767.0,1.0,-3053146.5,0.0,-3053146.5,-0.010177157934413872
CORN,short,closed,2023-05-08 00:00:00+00:00,2023-05-26 00:00:00+00:00,685453.0,656.5,604.0,449999894.5,414013612.0,1.0,35986282.5,0.0,35986282.5,0.07996953541507996
CORN,long,closed,2023-05-26 00:00:00+00:00,2023-06-20 00:00:00+00:00,496688.0,604.0,643.75,299999552.0,319742900.0,1.0,19743348.0,0.0,19743348.0,0.0658112582781457
CORN,short,closed,2023-06-20 00:00:00+00:00,2023-09-06 00:00:00+00:00,699029.0,643.75,471.5,449999918.75,329592173.5,1.0,120407745.25,0.0,120407745.25,0.2675728155339806
CORN,long,closed,2023-09-06 00:00:00+00:00,2023-09-08 00:00:00+00:00,636267.0,471.5,468.5,299999890.5,298091089.5,1.0,-1908801.0,0.0,-1908801.0,-0.006362672322375398
CORN,short,closed,2023-09-08 00:00:00+00:00,2023-09-14 00:00:00+00:00,640341.0,468.5,462.5,299999758.5,296157712.5,1.0,3842046.0,0.0,3842046.0,0.012806830309498399
CORN,long,closed,2023-09-14 00:00:00+00:00,2023-09-15 00:00:00+00:00,648648.0,462.5,476.25,299999700.0,308918610.0,1.0,8918910.0,0.0,8918910.0,0.02972972972972973
CORN,short,closed,2023-09-15 00:00:00+00:00,2023-09-29 00:00:00+00:00,629921.0,476.25,476.75,299999876.25,300314836.75,1.0,-314960.5,0.0,-314960.5,-0.0010498687664041995
CORN,long,closed,2023-09-29 00:00:00+00:00,2023-10-06 00:00:00+00:00,629260.0,476.75,492.0,299999705.0,309595920.0,1.0,9596215.0,0.0,9596215.0,0.03198741478762454
CORN,short,closed,2023-10-06 00:00:00+00:00,2023-10-09 00:00:00+00:00,609756.0,492.0,488.25,299999952.0,297713367.0,1.0,2286585.0,0.0,2286585.0,0.007621951219512195
