instrument_key,side,status,entry_ts,exit_ts,quantity,entry_price,exit_price,entry_notional,exit_notional,contract_multiplier,realized_gross_pnl,fees,realized_net_pnl,return_on_entry_notional
CORN,short,closed,2022-01-07 00:00:00+00:00,2022-01-14 00:00:00+00:00,741656.0,606.75,596.25,449999778.0,442212390.0,1.0,7787388.0,0.0,7787388.0,0.0173053152039555
CORN,long,closed,2022-01-14 00:00:00+00:00,2022-02-01 00:00:00+00:00,754716.0,596.25,634.75,449999415.0,479055981.0,1.0,29056566.0,0.0,29056566.0,0.06457023060796646
CORN,short,closed,2022-02-01 00:00:00+00:00,2022-02-15 00:00:00+00:00,472627.0,634.75,638.0,299999988.25,301536026.0,1.0,-1536037.75,0.0,-1536037.75,-0.005120126033871603
CORN,long,closed,2022-02-15 00:00:00+00:00,2022-03-07 00:00:00+00:00,470219.0,638.0,749.25,299999722.0,352311585.75,1.0,52311863.75,0.0,52311863.75,0.1743730407523511
CORN,short,closed,2022-03-07 00:00:00+00:00,2022-03-10 00:00:00+00:00,600600.0,749.25,757.75,449999550.0,455104650.0,1.0,-5105100.0,0.0,-5105100.0,-0.011344678011344677
CORN,long,closed,2022-03-10 00:00:00+00:00,2022-04-07 00:00:00+00:00,593863.0,757.75,757.75,449999688.25,449999688.25,1.0,0.0,0.0,0.0,0.0
CORN,short,closed,2022-04-07 00:00:00+00:00,2022-04-12 00:00:00+00:00,395908.0,757.75,776.25,299999287.0,307323585.0,1.0,-7324298.0,0.0,-7324298.0,-0.02441438469152095
CORN,long,closed,2022-04-12 00:00:00+00:00,2022-04-25 00:00:00+00:00,386473.0,776.25,800.25,299999666.25,309275018.25,1.0,9275352.0,0.0,9275352.0,0.030917874396135265
CORN,short,closed,2022-04-25 00:00:00+00:00,2022-05-09 00:00:00+00:00,374882.0,800.25,784.5,299999320.5,294094929.0,1.0,5904391.5,0.0,5904391.5,0.019681349578256794
CORN,long,closed,2022-05-09 00:00:00+00:00,2022-05-23 00:00:00+00:00,382409.0,784.5,786.25,299999860.5,300669076.25,1.0,669215.75,0.0,669215.75,0.0022307202039515616
CORN,short,closed,2022-05-23 00:00:00+00:00,2022-05-27 00:00:00+00:00,572337.0,786.25,777.25,449999966.25,444848933.25,1.0,5151033.0,0.0,5151033.0,0.011446740858505564
CORN,long,closed,2022-05-27 00:00:00+00:00,2022-06-21 00:00:00+00:00,385976.0,777.25,760.75,299999846.0,293631242.0,1.0,-6368604.0,0.0,-6368604.0,-0.02122869089739466
CORN,short,closed,2022-06-21 00:00:00+00:00,2022-07-20 00:00:00+00:00,591521.0,760.75,592.25,449999600.75,350328312.25,1.0,99671288.5,0.0,99671288.5,0.2214919487348012
CORN,long,closed,2022-07-20 00:00:00+00:00,2022-08-04 00:00:00+00:00,506542.0,592.25,602.25,299999499.5,305064919.5,1.0,5065420.0,0.0,5065420.0,0.016884761502743775
CORN,short,closed,2022-08-04 00:00:00+00:00,2022-08-25 00:00:00+00:00,498132.0,602.25,657.5,299999997.0,327521790.0,1.0,-27521793.0,0.0,-27521793.0,-0.09173931091739311
CORN,long,closed,2022-08-25 00:00:00+00:00,2022-09-05 00:00:00+00:00,456273.0,657.5,667.38,299999497.5,304507474.74,1.0,4507977.24000001,0.0,4507977.24000001,0.015026615969581781
CORN,short,closed,2022-09-05 00:00:00+00:00,2022-09-22 00:00:00+00:00,674278.0,667.38,688.25,449999651.64,464071833.5,1.0,-14072181.860000014,0.0,-14072181.860000014,-0.03127153945278555
CORN,long,closed,2022-09-22 00:00:00+00:00,2022-10-14 00:00:00+00:00,435888.0,688.25,689.75,299999916.0,300653748.0,1.0,653832.0,0.0,653832.0,0.002179440610243371
CORN,short,closed,2022-10-14 00:00:00+00:00,2022-10-26 00:00:00+00:00,652410.0,689.75,685.0,449999797.5,446900850.0,1.0,3098947.5,0.0,3098947.5,0.006886553098948894
CORN,long,closed,2022-10-26 00:00:00+00:00,2022-11-10 00:00:00+00:00,437956.0,685.0,653.25,299999860.0,286094757.0,1.0,-13905103.0,0.0,-13905103.0,-0.04635036496350365
