instrument_key,side,status,entry_ts,exit_ts,quantity,entry_price,exit_price,entry_notional,exit_notional,contract_multiplier,realized_gross_pnl,fees,realized_net_pnl,return_on_entry_notional
CORN,short,closed,2013-05-16 00:00:00+00:00,2013-06-07 00:00:00+00:00,541760.0,553.75,591.5,299999600.0,320451040.0,1.0,-20451440.0,0.0,-20451440.0,-0.06817155756207675
CORN,long,closed,2013-06-07 00:00:00+00:00,2013-07-03 00:00:00+00:00,507185.0,591.5,532.25,299999927.5,269949216.25,1.0,-30050711.25,0.0,-30050711.25,-0.10016906170752325
CORN,short,closed,2013-07-03 00:00:00+00:00,2013-07-31 00:00:00+00:00,845467.0,532.25,479.0,449999810.75,404978693.0,1.0,45021117.75,0.0,45021117.75,0.10004697040864255
CORN,long,closed,2013-07-31 00:00:00+00:00,2013-09-17 00:00:00+00:00,939457.0,479.0,466.5,449999903.0,438256690.5,1.0,-11743212.5,0.0,-11743212.5,-0.026096033402922755
CORN,short,closed,2013-09-17 00:00:00+00:00,2013-10-04 00:00:00+00:00,643086.0,466.5,456.0,299999619.0,293247216.0,1.0,6752403.0,0.0,6752403.0,0.022508038585209004
CORN,long,closed,2013-10-04 00:00:00+00:00,2013-10-24 00:00:00+00:00,657894.0,456.0,452.5,299999664.0,297697035.0,1.0,-2302629.0,0.0,-2302629.0,-0.007675438596491228
CORN,short,closed,2013-10-24 00:00:00+00:00,2013-11-19 00:00:00+00:00,994475.0,452.5,426.25,449999937.5,423894968.75,1.0,26104968.75,0.0,26104968.75,0.058011049723756904
CORN,long,closed,2013-11-19 00:00:00+00:00,2013-12-06 00:00:00+00:00,1055718.0,426.25,434.25,449999797.5,458445541.5,1.0,8445744.0,0.0,8445744.0,0.0187683284457478
CORN,short,closed,2013-12-06 00:00:00+00:00,2014-01-09 00:00:00+00:00,690846.0,434.25,420.25,299999875.5,290328031.5,1.0,9671844.0,0.0,9671844.0,0.03223949337938975
CORN,long,closed,2014-01-09 00:00:00+00:00,2014-01-29 00:00:00+00:00,1070791.0,420.25,434.0,449999917.75,464723294.0,1.0,14723376.25,0.0,14723376.25,0.03271861986912552
CORN,short,closed,2014-01-29 00:00:00+00:00,2014-02-11 00:00:00+00:00,691244.0,434.0,447.25,299999896.0,309158879.0,1.0,-9158983.0,0.0,-9158983.0,-0.03052995391705069
CORN,long,closed,2014-02-11 00:00:00+00:00,2014-02-24 00:00:00+00:00,670765.0,447.25,457.75,299999646.25,307042678.75,1.0,7043032.5,0.0,7043032.5,0.023476802683063163
CORN,short,closed,2014-02-24 00:00:00+00:00,2014-03-04 00:00:00+00:00,983069.0,457.75,484.25,449999834.75,476051163.25,1.0,-26051328.5,0.0,-26051328.5,-0.05789186237028946
CORN,long,closed,2014-03-04 00:00:00+00:00,2014-03-06 00:00:00+00:00,619514.0,484.25,491.0,299999654.5,304181374.0,1.0,4181719.5,0.0,4181719.5,0.013939081053175014
CORN,short,closed,2014-03-06 00:00:00+00:00,2014-03-11 00:00:00+00:00,610997.0,491.0,483.25,299999527.0,295264300.25,1.0,4735226.75,0.0,4735226.75,0.015784114052953158
CORN,long,closed,2014-03-11 00:00:00+00:00,2014-03-14 00:00:00+00:00,620796.0,483.25,486.0,299999667.0,301706856.0,1.0,1707189.0,0.0,1707189.0,0.005690636316606311
CORN,short,closed,2014-03-14 00:00:00+00:00,2014-03-21 00:00:00+00:00,925925.0,486.0,483.75,449999550.0,447916218.75,1.0,2083331.25,0.0,2083331.25,0.004629629629629629
CORN,long,closed,2014-03-21 00:00:00+00:00,2014-05-09 00:00:00+00:00,620155.0,483.75,507.5,299999981.25,314728662.5,1.0,14728681.25,0.0,14728681.25,0.04909560723514212
CORN,short,closed,2014-05-09 00:00:00+00:00,2014-06-10 00:00:00+00:00,591133.0,507.5,441.25,299999997.5,260837436.25,1.0,39162561.25,0.0,39162561.25,0.13054187192118227
CORN,long,closed,2014-06-10 00:00:00+00:00,2014-06-16 00:00:00+00:00,679886.0,441.25,436.75,299999697.5,296940210.5,1.0,-3059487.0,0.0,-3059487.0,-0.010198300283286119
CORN,short,closed,2014-06-16 00:00:00+00:00,2014-07-11 00:00:00+00:00,1030337.0,436.75,378.25,449999684.75,389724970.25,1.0,60274714.5,0.0,60274714.5,0.13394390383514596
CORN,long,closed,2014-07-11 00:00:00+00:00,2014-07-23 00:00:00+00:00,793126.0,378.25,370.75,299999909.5,294051464.5,1.0,-5948445.0,0.0,-5948445.0,-0.01982815598149372
CORN,short,closed,2014-07-23 00:00:00+00:00,2014-08-18 00:00:00+00:00,809170.0,370.75,371.5,299999777.5,300606655.0,1.0,-606877.5,0.0,-606877.5,-0.0020229265003371545
CORN,long,closed,2014-08-18 00:00:00+00:00,2014-10-08 00:00:00+00:00,1211305.0,371.5,356.5,449999807.5,431830232.5,1.0,-18169575.0,0.0,-18169575.0,-0.040376850605652756
CORN,short,closed,2014-10-08 00:00:00+00:00,2014-11-19 00:00:00+00:00,841514.0,356.5,376.0,299999741.0,316409264.0,1.0,-16409523.0,0.0,-16409523.0,-0.0546984572230014
CORN,long,closed,2014-11-19 00:00:00+00:00,2014-12-01 00:00:00+00:00,1196808.0,376.0,389.75,449999808.0,466455918.0,1.0,16456110.0,0.0,16456110.0,0.036569148936170214
CORN,short,closed,2014-12-01 00:00:00+00:00,2014-12-03 00:00:00+00:00,1154586.0,389.75,382.0,449999893.5,441051852.0,1.0,8948041.5,0.0,8948041.5,0.019884541372674792
CORN,long,closed,2014-12-03 00:00:00+00:00,2015-01-15 00:00:00+00:00,1178010.0,382.0,387.25,449999820.0,456184372.5,1.0,6184552.5,0.0,6184552.5,0.0137434554973822
CORN,short,closed,2015-01-15 00:00:00+00:00,2015-01-20 00:00:00+00:00,1162040.0,387.25,397.75,449999990.0,462201410.0,1.0,-12201420.0,0.0,-12201420.0,-0.02711426726920594
CORN,long,closed,2015-01-20 00:00:00+00:00,2015-02-19 00:00:00+00:00,754242.0,397.75,397.75,299999755.5,299999755.5,1.0,0.0,0.0,0.0,0.0
CORN,short,closed,2015-02-19 00:00:00+00:00,2015-03-16 00:00:00+00:00,754242.0,397.75,387.0,299999755.5,291891654.0,1.0,8108101.5,0.0,8108101.5,0.02702702702702703
CORN,long,closed,2015-03-16 00:00:00+00:00,2015-03-23 00:00:00+00:00,1162790.0,387.0,398.0,449999730.0,462790420.0,1.0,12790690.0,0.0,12790690.0,0.028423772609819122
CORN,short,closed,2015-03-23 00:00:00+00:00,2015-03-25 00:00:00+00:00,1130653.0,398.0,403.0,449999894.0,455653159.0,1.0,-5653265.0,0.0,-5653265.0,-0.01256281407035176
CORN,long,closed,2015-03-25 00:00:00+00:00,2015-04-03 00:00:00+00:00,1116625.0,403.0,386.5,449999875.0,431575562.5,1.0,-18424312.5,0.0,-18424312.5,-0.04094292803970223
CORN,short,closed,2015-04-03 00:00:00+00:00,2015-04-16 00:00:00+00:00,1164294.0,386.5,376.25,449999631.0,438065617.5,1.0,11934013.5,0.0,11934013.5,0.02652005174644243
CORN,long,closed,2015-04-16 00:00:00+00:00,2015-05-19 00:00:00+00:00,1196013.0,376.25,362.0,449999891.25,432956706.0,1.0,-17043185.25,0.0,-17043185.25,-0.03787375415282392
CORN,short,closed,2015-05-19 00:00:00+00:00,2015-06-15 00:00:00+00:00,828729.0,362.0,348.25,299999898.0,288604874.25,1.0,11395023.75,0.0,11395023.75,0.03798342541436464
CORN,long,closed,2015-06-15 00:00:00+00:00,2015-06-24 00:00:00+00:00,861450.0,348.25,366.5,299999962.5,315721425.0,1.0,15721462.5,0.0,15721462.5,0.0524048815506102
CORN,short,closed,2015-06-24 00:00:00+00:00,2015-07-28 00:00:00+00:00,818553.0,366.5,375.0,299999674.5,306957375.0,1.0,-6957700.5,0.0,-6957700.5,-0.023192360163710776
CORN,long,closed,2015-07-28 00:00:00+00:00,2015-07-31 00:00:00+00:00,800000.0,375.0,371.0,300000000.0,296800000.0,1.0,-3200000.0,0.0,-3200000.0,-0.010666666666666666
CORN,short,closed,2015-07-31 00:00:00+00:00,2015-08-06 00:00:00+00:00,1212938.0,371.0,369.75,449999998.0,448483825.5,1.0,1516172.5,0.0,1516172.5,0.0033692722371967657
CORN,long,closed,2015-08-06 00:00:00+00:00,2015-08-13 00:00:00+00:00,811359.0,369.75,363.75,299999990.25,295131836.25,1.0,-4868154.0,0.0,-4868154.0,-0.016227180527383367
CORN,short,closed,2015-08-13 00:00:00+00:00,2015-08-17 00:00:00+00:00,824742.0,363.75,363.25,299999902.5,299587531.5,1.0,412371.0,0.0,412371.0,0.0013745704467353953
CORN,long,closed,2015-08-17 00:00:00+00:00,2015-08-20 00:00:00+00:00,825877.0,363.25,371.0,299999820.25,306400367.0,1.0,6400546.75,0.0,6400546.75,0.021335168616655197
CORN,short,closed,2015-08-20 00:00:00+00:00,2015-10-13 00:00:00+00:00,1212938.0,371.0,384.5,449999998.0,466374661.0,1.0,-16374663.0,0.0,-16374663.0,-0.03638814016172507
CORN,long,closed,2015-10-13 00:00:00+00:00,2015-10-27 00:00:00+00:00,780234.0,384.5,380.0,299999973.0,296488920.0,1.0,-3511053.0,0.0,-3511053.0,-0.011703511053315995
CORN,short,closed,2015-10-27 00:00:00+00:00,2016-01-04 00:00:00+00:00,1184210.0,380.0,351.5,449999800.0,416249815.0,1.0,33749985.0,0.0,33749985.0,0.075
CORN,long,closed,2016-01-04 00:00:00+00:00,2016-01-18 00:00:00+00:00,1280227.0,351.5,363.25,449999790.5,465042457.75,1.0,15042667.25,0.0,15042667.25,0.033428165007112376
CORN,short,closed,2016-01-18 00:00:00+00:00,2016-03-15 00:00:00+00:00,825877.0,363.25,368.5,299999820.25,304335674.5,1.0,-4335854.25,0.0,-4335854.25,-0.014452856159669649
CORN,long,closed,2016-03-15 00:00:00+00:00,2016-04-26 00:00:00+00:00,814111.0,368.5,382.25,299999903.5,311193929.75,1.0,11194026.25,0.0,11194026.25,0.03731343283582089
CORN,short,closed,2016-04-26 00:00:00+00:00,2016-08-09 00:00:00+00:00,784826.0,382.25,322.25,299999738.5,252910178.5,1.0,47089560.0,0.0,47089560.0,0.15696533682145192
CORN,long,closed,2016-08-09 00:00:00+00:00,2016-08-15 00:00:00+00:00,930954.0,322.25,326.5,299999926.5,303956481.0,1.0,3956554.5,0.0,3956554.5,0.013188518231186967
CORN,short,closed,2016-08-15 00:00:00+00:00,2016-08-22 00:00:00+00:00,918836.0,326.5,333.25,299999954.0,306202097.0,1.0,-6202143.0,0.0,-6202143.0,-0.020673813169984685
CORN,long,closed,2016-08-22 00:00:00+00:00,2016-10-06 00:00:00+00:00,1350337.0,333.25,340.5,449999805.25,459789748.5,1.0,9789943.25,0.0,9789943.25,0.02175543885971493
CORN,short,closed,2016-10-06 00:00:00+00:00,2016-10-13 00:00:00+00:00,1321585.0,340.5,349.5,449999692.5,461893957.5,1.0,-11894265.0,0.0,-11894265.0,-0.02643171806167401
CORN,long,closed,2016-10-13 00:00:00+00:00,2016-11-15 00:00:00+00:00,858369.0,349.5,341.5,299999965.5,293133013.5,1.0,-6866952.0,0.0,-6866952.0,-0.022889842632331903
CORN,short,closed,2016-11-15 00:00:00+00:00,2016-12-16 00:00:00+00:00,878477.0,341.5,356.25,299999895.5,312957431.25,1.0,-12957535.75,0.0,-12957535.75,-0.04319180087847731
CORN,long,closed,2016-12-16 00:00:00+00:00,2017-03-14 00:00:00+00:00,842105.0,356.25,353.75,299999906.25,297894643.75,1.0,-2105262.5,0.0,-2105262.5,-0.007017543859649123
CORN,short,closed,2017-03-14 00:00:00+00:00,2017-03-29 00:00:00+00:00,848056.0,353.75,358.5,299999810.0,304028076.0,1.0,-4028266.0,0.0,-4028266.0,-0.01342756183745583
CORN,long,closed,2017-03-29 00:00:00+00:00,2017-04-12 00:00:00+00:00,1255230.0,358.5,369.0,449999955.0,463179870.0,1.0,13179915.0,0.0,13179915.0,0.029288702928870293
CORN,short,closed,2017-04-12 00:00:00+00:00,2017-06-19 00:00:00+00:00,1219512.0,369.0,375.25,449999928.0,457621878.0,1.0,-7621950.0,0.0,-7621950.0,-0.016937669376693765
