instrument_key,side,status,entry_ts,exit_ts,quantity,entry_price,exit_price,entry_notional,exit_notional,contract_multiplier,realized_gross_pnl,fees,realized_net_pnl,return_on_entry_notional
SB11,short,closed,2013-09-09 00:00:00+00:00,2013-12-26 00:00:00+00:00,15747.0,17.01,16.29,299999246.40000004,287300865.59999996,1120.0,12698380.800000044,0.0,12698380.800000044,0.04232804232804247
SB11,long,closed,2013-12-26 00:00:00+00:00,2014-01-21 00:00:00+00:00,16443.0,16.29,15.22,299999246.4,280293955.20000005,1120.0,-19705291.199999973,0.0,-19705291.199999973,-0.06568446899938604
SB11,short,closed,2014-01-21 00:00:00+00:00,2014-02-21 00:00:00+00:00,17599.0,15.220000000000002,17.07,299999593.6,336464721.59999996,1120.0,-36465127.99999999,0.0,-36465127.99999999,-0.12155059132720102
SB11,long,closed,2014-02-21 00:00:00+00:00,2014-03-10 00:00:00+00:00,15691.0,17.07,18.22,299986814.4,320196822.4,1120.0,20210007.999999974,0.0,20210007.999999974,0.06736965436438187
SB11,short,closed,2014-03-10 00:00:00+00:00,2014-04-21 00:00:00+00:00,14701.0,18.22,17.53,299994486.4,288633553.6,1120.0,11360932.799999962,0.0,11360932.799999962,0.037870472008781436
SB11,long,closed,2014-04-21 00:00:00+00:00,2014-05-14 00:00:00+00:00,15279.0,17.53,18.25,299981774.4,312302760.0,1120.0,12320985.599999981,0.0,12320985.599999981,0.041072447233314255
SB11,short,closed,2014-05-14 00:00:00+00:00,2014-06-11 00:00:00+00:00,14677.0,18.25,16.81,299997880.0,276326814.4,1120.0,23671065.60000002,0.0,23671065.60000002,0.07890410958904116
SB11,long,closed,2014-06-11 00:00:00+00:00,2014-07-08 00:00:00+00:00,15934.0,16.81,17.68,299992604.79999995,315518694.4,1120.0,15526089.60000002,0.0,15526089.60000002,0.05175490779298044
SB11,short,closed,2014-07-08 00:00:00+00:00,2014-10-01 00:00:00+00:00,15150.0,17.68,16.04,299994240.0,272166720.0,1120.0,27827520.000000015,0.0,27827520.000000015,0.09276018099547516
SB11,long,closed,2014-10-01 00:00:00+00:00,2014-10-30 00:00:00+00:00,16699.0,16.04,16.3,299994195.1999999,304856944.0,1120.0,4862748.800000027,0.0,4862748.800000027,0.016209476309227026
SB11,short,closed,2014-10-30 00:00:00+00:00,2015-06-18 00:00:00+00:00,16432.0,16.3,11.69,299982592.00000006,215140889.6,1120.0,84841702.40000002,0.0,84841702.40000002,0.2828220858895706
SB11,long,closed,2015-06-18 00:00:00+00:00,2015-07-10 00:00:00+00:00,22913.0,11.69,12.41,299995326.4,318472369.6,1120.0,18477043.200000018,0.0,18477043.200000018,0.06159110350727123
